year,month,day,period,1
2023,1,2,8,4783.304
2023,1,2,9,5017.625
2023,1,2,10,5230.092
2023,1,2,11,5409.662
2023,1,2,12,5532.696
2023,1,2,13,5649.491
2023,1,2,14,5750.411
2023,1,2,15,5810.779
2023,1,2,16,5869.278
2023,1,2,17,5886.804
2023,1,2,18,5813.283
2023,1,2,19,5787.677
2023,1,2,20,5748.973
2023,1,2,21,5702.212
2023,1,2,22,5627.567
2023,1,2,23,5557.754
2023,1,2,24,5476.819
2023,1,2,1,1804.679
2023,1,2,2,1721.562
2023,1,2,3,1669
2023,1,2,4,1675.748
2023,1,2,5,1695.081
2023,1,2,6,1729.73
2023,1,2,7,1780.332
2023,1,2,8,1844.886
2023,1,2,9,1904.004
2023,1,2,10,2008.948
2023,1,2,11,2113.004
2023,1,2,12,2186.543
2023,1,2,13,2191.47
2023,1,2,14,2201.265
2023,1,2,15,2216.339
2023,1,2,16,2247.636
2023,1,2,17,2251.031
2023,1,2,18,2281.16
2023,1,2,19,2258.378
2023,1,2,20,2329.915
2023,1,2,21,2327.714
2023,1,2,22,2303.928
2023,1,2,23,2210.596
2023,1,2,24,2134.598
2023,1,2,1,2388.085
2023,1,2,2,2310.102
2023,1,2,3,2261.149
2023,1,2,4,2206.061
2023,1,2,5,2225.208
2023,1,2,6,2245.433
2023,1,2,7,2358.331
2023,1,2,8,2544.269
2023,1,2,9,2674.101
2023,1,2,10,2795.388
2023,1,2,11,2864.408
2023,1,2,12,2918.488
2023,1,2,13,2943.443
2023,1,2,14,2935.614
2023,1,2,15,2926.217
2023,1,2,16,2931.005
2023,1,2,17,2931.635
2023,1,2,18,2980.004
2023,1,2,19,3060.893
2023,1,2,20,3177.41
2023,1,2,21,3184.75
2023,1,2,22,3148.878
2023,1,2,23,3066.612
2023,1,2,24,2927.807
2023,1,2,1,6207.764
2023,1,2,2,6038.589
2023,1,2,3,5956.505
2023,1,2,4,5935.601
2023,1,2,5,5946.397
2023,1,2,6,6096.293
2023,1,2,7,6541.166
2023,1,2,8,7180.115
2023,1,2,9,7592.89
2023,1,2,10,7964.536
2023,1,2,11,8209.285
2023,1,2,12,8389.362
2023,1,2,13,8566.654
2023,1,2,14,8704.144
2023,1,2,15,8754.516
2023,1,2,16,8855.559
