year,month,day,period,1
2023,1,9,23,274.313
2023,1,9,24,252.29
2023,1,10,1,242.227
2023,1,10,2,231.134
2023,1,10,3,223.762
2023,1,10,4,220.447
2023,1,10,5,219.999
2023,1,10,6,226.78
2023,1,10,7,240.573
2023,1,10,8,257.593
2023,1,10,9,273.5
2023,1,10,10,287.14
2023,1,10,11,294.445
2023,1,10,12,297.93
2023,1,10,13,301.43
2023,1,10,14,304.593
2023,1,10,15,307.972
2023,1,10,16,310.822
2023,1,10,17,312.846
2023,1,10,18,314.59
2023,1,10,19,332.123
2023,1,10,20,329.231
2023,1,10,21,318.968
2023,1,10,22,302.044
2023,1,10,23,280.791
2023,1,10,24,259.139
2023,1,11,1,237.468
2023,1,11,2,227.091
2023,1,11,3,220.63
2023,1,11,4,217.422
2023,1,11,5,217.224
2023,1,11,6,224.893
2023,1,11,7,239.912
2023,1,11,8,256.072
2023,1,11,9,272.042
2023,1,11,10,286.611
2023,1,11,11,295.116
2023,1,11,12,300.228
2023,1,11,13,304.133
2023,1,11,14,306.466
2023,1,11,15,309.302
2023,1,11,16,311.177
2023,1,11,17,311.021
2023,1,11,18,311.453
2023,1,11,19,330.361
2023,1,11,20,326.959
2023,1,11,21,316.904
2023,1,11,22,302.035
2023,1,11,23,279.753
2023,1,11,24,257.755
2023,1,12,1,233.065
2023,1,12,2,223.398
2023,1,12,3,217.028
2023,1,12,4,213.5
2023,1,12,5,213.509
2023,1,12,6,223.235
2023,1,12,7,240.084
2023,1,12,8,253.479
2023,1,12,9,267.528
2023,1,12,10,280.658
2023,1,12,11,287.784
2023,1,12,12,292.538
2023,1,12,13,295.217
2023,1,12,14,298.621
2023,1,12,15,301.08
2023,1,12,16,304.402
2023,1,12,17,305.801
2023,1,12,18,306.738
2023,1,12,19,324.196
2023,1,12,20,322.279
2023,1,12,21,313.135
2023,1,12,22,296.002
2023,1,12,23,273.917
2023,1,12,24,253.424
2023,1,13,1,228.67
2023,1,13,2,219.255
2023,1,13,3,214.415
2023,1,13,4,211.575
2023,1,13,5,210.964
2023,1,13,6,218.165
2023,1,13,7,233.654
2023,1,13,8,247.259
2023,1,13,9,261.595
2023,1,13,10,271.953
2023,1,13,11,280.104
2023,1,13,12,284.234
2023,1,13,13,287.126
2023,1,13,14,290.643
2023,1,13,15,294.083
2023,1,13,16,297.123
2023,1,13,17,299.239
2023,1,13,18,302.667
2023,1,13,19,316.791
2023,1,13,20,313.654
2023,1,13,21,303.793
2023,1,13,22,289.674
2023,1,13,23,267.681
2023,1,13,24,246.775
2023,1,14,1,238.088
2023,1,14,2,227.52
2023,1,14,3,220.865
2023,1,14,4,218.067
2023,1,14,5,218.434
2023,1,14,6,224.572
2023,1,14,7,234.352
2023,1,14,8,246.627
2023,1,14,9,264.921
2023,1,14,10,277.562
2023,1,14,11,283.449
2023,1,14,12,288.81
2023,1,14,13,291.624
2023,1,14,14,294.276
2023,1,14,15,295.42
2023,1,14,16,297.26
2023,1,14,17,299.547
2023,1,14,18,303.598
2023,1,14,19,319.745
2023,1,14,20,316.967
2023,1,14,21,305.145
2023,1,14,22,291.805
2023,1,14,23,272.885
2023,1,14,24,254.536
2023,1,15,1,235.152
2023,1,15,2,224.315
2023,1,15,3,218.273
2023,1,15,4,214.796
2023,1,15,5,211.635
2023,1,15,6,216.446
2023,1,15,7,221.948
2023,1,15,8,229.365
2023,1,15,9,244.623
2023,1,15,10,256.217
2023,1,15,11,261.369
2023,1,15,12,264.179
2023,1,15,13,266.435
2023,1,15,14,271.059
2023,1,15,15,274.303
2023,1,15,16,278.511
2023,1,15,17,281.634
2023,1,15,18,284.794
2023,1,15,19,301.893
2023,1,15,20,301.181
2023,1,15,21,294.476
2023,1,15,22,282.906
2023,1,15,23,263.03
2023,1,15,24,242.929
2023,1,16,1,232.894
2023,1,16,2,222.334
2023,1,16,3,217.278
2023,1,16,4,214.336
2023,1,16,5,214.33
2023,1,16,6,222.17
2023,1,16,7,237.29
2023,1,16,8,250.871
2023,1,16,9,264.413
2023,1,16,10,276.594
2023,1,16,11,284.947
2023,1,16,12,290.975
2023,1,16,13,293.1
2023,1,16,14,296.719
2023,1,16,15,300.499
2023,1,16,16,303.09
2023,1,16,17,304.27
2023,1,16,18,306.941
2023,1,16,19,322.851
2023,1,16,20,321.184
2023,1,16,21,310.946
2023,1,16,22,295.421
2023,1,16,23,274.134
2023,1,16,24,253.254
2023,1,17,1,238.882
2023,1,17,2,229.64
2023,1,17,3,222.711
2023,1,17,4,218.051
2023,1,17,5,218.052
2023,1,17,6,228.605
2023,1,17,7,242.697
2023,1,17,8,254.088
2023,1,17,9,268.636
2023,1,17,10,280.27
2023,1,17,11,287.17
2023,1,17,12,292.48
2023,1,17,13,295.487
2023,1,17,14,298.196
2023,1,17,15,301.123
2023,1,17,16,303.898
2023,1,17,17,305.18
2023,1,17,18,306.613
2023,1,17,19,322.999
2023,1,17,20,322.963
2023,1,17,21,313.048
2023,1,17,22,296.593
2023,1,17,23,275.497
2023,1,17,24,255.314
2023,1,18,1,236.361
2023,1,18,2,226.067
2023,1,18,3,220.716
2023,1,18,4,219.108
2023,1,18,5,219.177
2023,1,18,6,227.977
2023,1,18,7,245.079
2023,1,18,8,258.168
2023,1,18,9,269.199
2023,1,18,10,276.975
2023,1,18,11,281.357
2023,1,18,12,285.029
2023,1,18,13,289.289
2023,1,18,14,291.891
2023,1,18,15,294.75
2023,1,18,16,298.396
2023,1,18,17,299.403
2023,1,18,18,300.673
2023,1,18,19,315.2
2023,1,18,20,315.402
2023,1,18,21,306.594
2023,1,18,22,291.032
2023,1,18,23,270.695
2023,1,18,24,249.361
2023,1,19,1,236.745
2023,1,19,2,227.242
2023,1,19,3,221.246
2023,1,19,4,217.669
2023,1,19,5,217.164
2023,1,19,6,226.178
2023,1,19,7,242.52
2023,1,19,8,260.155
2023,1,19,9,271.546
2023,1,19,10,282.041
2023,1,19,11,290.438
2023,1,19,12,294.661
2023,1,19,13,298.735
2023,1,19,14,300.547
2023,1,19,15,302.096
2023,1,19,16,303.872
2023,1,19,17,304.583
2023,1,19,18,306.762
2023,1,19,19,321.527
2023,1,19,20,321.353
2023,1,19,21,313.252
2023,1,19,22,299.783
2023,1,19,23,277.282
2023,1,19,24,255.723
2023,1,20,1,233.805
2023,1,20,2,223.979
2023,1,20,3,217.994
2023,1,20,4,214.99
2023,1,20,5,214.426
2023,1,20,6,224.324
2023,1,20,7,244.034
2023,1,20,8,259.346
2023,1,20,9,273.635
2023,1,20,10,283.066
2023,1,20,11,289.983
2023,1,20,12,292.33
2023,1,20,13,296.735
2023,1,20,14,298.307
2023,1,20,15,301.432
2023,1,20,16,302.467
2023,1,20,17,300.799
2023,1,20,18,302.256
2023,1,20,19,319.981
2023,1,20,20,319.661
2023,1,20,21,310.007
2023,1,20,22,295.307
2023,1,20,23,274.78
2023,1,20,24,253.599
2023,1,21,1,229.794
2023,1,21,2,219.4
2023,1,21,3,212.044
2023,1,21,4,208.289
2023,1,21,5,207.359
2023,1,21,6,212.422
2023,1,21,7,223.426
2023,1,21,8,238.001
2023,1,21,9,255.68
2023,1,21,10,267.375
2023,1,21,11,275.439
2023,1,21,12,278.917
2023,1,21,13,281.657
2023,1,21,14,282.734
2023,1,21,15,283.351
2023,1,21,16,286.218
2023,1,21,17,289.267
2023,1,21,18,290.626
2023,1,21,19,305.109
2023,1,21,20,304.977
2023,1,21,21,292.156
2023,1,21,22,278.585
2023,1,21,23,261.167
2023,1,21,24,243.727
2023,1,22,1,230.401
2023,1,22,2,220.148
2023,1,22,3,212.938
2023,1,22,4,208.732
2023,1,22,5,207.064
2023,1,22,6,208.894
2023,1,22,7,216.345
2023,1,22,8,224.456
2023,1,22,9,238.545
2023,1,22,10,249.982
2023,1,22,11,257.892
2023,1,22,12,260.04
2023,1,22,13,262.663
2023,1,22,14,265.398
2023,1,22,15,267.498
2023,1,22,16,269.65
2023,1,22,17,270.96
2023,1,22,18,273.861
2023,1,22,19,290.887
2023,1,22,20,290.168
2023,1,22,21,282.746
2023,1,22,22,271.406
2023,1,22,23,252.926
2023,1,22,24,233.494
2023,1,23,1,223.191
2023,1,23,2,213.515
2023,1,23,3,207.876
2023,1,23,4,204.55
2023,1,23,5,205.168
2023,1,23,6,215.358
2023,1,23,7,233.338
2023,1,23,8,246.834
2023,1,23,9,260.971
2023,1,23,10,274.815
2023,1,23,11,281.712
2023,1,23,12,287.195
2023,1,23,13,293.99
2023,1,23,14,294.857
2023,1,23,15,295.099
2023,1,23,16,298.14
2023,1,23,17,300.056
2023,1,23,18,299.123
2023,1,23,19,314.642
2023,1,23,20,314.472
2023,1,23,21,305.807
2023,1,23,22,291.58
2023,1,23,23,268.292
2023,1,23,24,245.941
2023,1,24,1,230.954
2023,1,24,2,221.394
2023,1,24,3,215.158
2023,1,24,4,212.469
2023,1,24,5,214.134
2023,1,24,6,224.15
2023,1,24,7,245.155
2023,1,24,8,259.769
2023,1,24,9,268.936
2023,1,24,10,276.237
2023,1,24,11,281.499
2023,1,24,12,283.035
2023,1,24,13,282.29
2023,1,24,14,280.477
2023,1,24,15,282.926
2023,1,24,16,286.795
