year,month,day,period,1
2023,1,9,9,1540.99
2023,1,9,10,1572.736
2023,1,9,11,1598.376
2023,1,9,12,1612.259
2023,1,9,13,1620.615
2023,1,9,14,1628.256
2023,1,9,15,1637.455
2023,1,9,16,1638.238
2023,1,9,17,1665.271
2023,1,9,18,1747.191
2023,1,9,19,1750.643
2023,1,9,20,1750.47
2023,1,9,21,1735.977
2023,1,9,22,1684.768
2023,1,9,23,1598.549
2023,1,9,24,1496.391
2023,1,10,1,1399.312
2023,1,10,2,1341.979
2023,1,10,3,1305.515
2023,1,10,4,1291.08
2023,1,10,5,1302.494
2023,1,10,6,1334.892
2023,1,10,7,1421.303
2023,1,10,8,1502.375
2023,1,10,9,1554.692
2023,1,10,10,1584.372
2023,1,10,11,1612.103
2023,1,10,12,1630.314
2023,1,10,13,1642.779
2023,1,10,14,1654.805
2023,1,10,15,1649.709
2023,1,10,16,1648.785
2023,1,10,17,1661.93
2023,1,10,18,1749.071
2023,1,10,19,1749.615
2023,1,10,20,1743.448
2023,1,10,21,1712.533
2023,1,10,22,1658.769
2023,1,10,23,1577.358
2023,1,10,24,1486.839
2023,1,11,1,1437.503
2023,1,11,2,1381.365
2023,1,11,3,1343.989
2023,1,11,4,1330.287
2023,1,11,5,1342.003
2023,1,11,6,1373.451
2023,1,11,7,1457.809
2023,1,11,8,1539.44
2023,1,11,9,1596.74
2023,1,11,10,1620.521
2023,1,11,11,1642.237
2023,1,11,12,1654.223
2023,1,11,13,1662.727
2023,1,11,14,1672.667
2023,1,11,15,1668.692
2023,1,11,16,1670.685
2023,1,11,17,1681.658
2023,1,11,18,1777.223
2023,1,11,19,1785.771
2023,1,11,20,1780.946
2023,1,11,21,1752.147
2023,1,11,22,1695.667
2023,1,11,23,1613.669
2023,1,11,24,1521.312
2023,1,12,1,1454.716
2023,1,12,2,1396.411
2023,1,12,3,1361.135
2023,1,12,4,1345.549
2023,1,12,5,1356.686
2023,1,12,6,1391.581
2023,1,12,7,1479.789
2023,1,12,8,1567.167
2023,1,12,9,1610.924
2023,1,12,10,1640.494
2023,1,12,11,1668.296
2023,1,12,12,1685.026
2023,1,12,13,1694.839
2023,1,12,14,1707.647
2023,1,12,15,1706.016
2023,1,12,16,1706.302
2023,1,12,17,1714.517
2023,1,12,18,1800.445
2023,1,12,19,1805.134
2023,1,12,20,1802.109
2023,1,12,21,1770.516
2023,1,12,22,1715.863
2023,1,12,23,1635.552
2023,1,12,24,1541.61
2023,1,13,1,1446.208
2023,1,13,2,1391.115
2023,1,13,3,1359.942
2023,1,13,4,1354.498
2023,1,13,5,1365.248
2023,1,13,6,1401.404
2023,1,13,7,1478.882
2023,1,13,8,1551.616
2023,1,13,9,1597.203
2023,1,13,10,1622.834
2023,1,13,11,1642.307
2023,1,13,12,1652.061
2023,1,13,13,1654.089
2023,1,13,14,1662.804
2023,1,13,15,1664.131
2023,1,13,16,1651.285
2023,1,13,17,1651.262
2023,1,13,18,1718.654
2023,1,13,19,1725.838
2023,1,13,20,1717.49
2023,1,13,21,1695.78
2023,1,13,22,1646.349
2023,1,13,23,1576.791
2023,1,13,24,1493.293
2023,1,14,1,1396.905
2023,1,14,2,1341.38
2023,1,14,3,1303.405
2023,1,14,4,1286.757
2023,1,14,5,1288.104
2023,1,14,6,1296.075
2023,1,14,7,1323.803
2023,1,14,8,1363.776
2023,1,14,9,1410.209
2023,1,14,10,1436.245
2023,1,14,11,1458.742
2023,1,14,12,1474.522
2023,1,14,13,1472.696
2023,1,14,14,1461.701
2023,1,14,15,1442.514
2023,1,14,16,1434.769
2023,1,14,17,1456.43
2023,1,14,18,1539.735
2023,1,14,19,1551.414
2023,1,14,20,1538.264
2023,1,14,21,1512.774
2023,1,14,22,1466.188
2023,1,14,23,1404.161
2023,1,14,24,1342.968
2023,1,15,1,1293.959
2023,1,15,2,1247.646
2023,1,15,3,1218.406
2023,1,15,4,1202.16
2023,1,15,5,1196.176
2023,1,15,6,1195.85
2023,1,15,7,1198.613
2023,1,15,8,1206.39
2023,1,15,9,1236.625
2023,1,15,10,1254.943
2023,1,15,11,1270.113
2023,1,15,12,1282.667
2023,1,15,13,1287.571
2023,1,15,14,1294.566
2023,1,15,15,1301.945
2023,1,15,16,1312.01
2023,1,15,17,1340.05
2023,1,15,18,1449.869
2023,1,15,19,1487.17
2023,1,15,20,1491.014
2023,1,15,21,1479.962
2023,1,15,22,1439.938
2023,1,15,23,1374.145
2023,1,15,24,1299.369
2023,1,16,1,1257.364
2023,1,16,2,1219.942
2023,1,16,3,1195.281
2023,1,16,4,1191.318
2023,1,16,5,1219.292
2023,1,16,6,1281.127
2023,1,16,7,1400.793
2023,1,16,8,1514.234
2023,1,16,9,1583.99
2023,1,16,10,1619.088
2023,1,16,11,1647.394
2023,1,16,12,1671.552
2023,1,16,13,1678.321
2023,1,16,14,1692.051
2023,1,16,15,1704.504
2023,1,16,16,1708.288
2023,1,16,17,1709.26
2023,1,16,18,1777.245
2023,1,16,19,1788.088
2023,1,16,20,1784.57
2023,1,16,21,1764.448
2023,1,16,22,1711.733
2023,1,16,23,1621.922
2023,1,16,24,1528.616
2023,1,17,1,1460.836
2023,1,17,2,1408.472
2023,1,17,3,1379.588
2023,1,17,4,1365.907
2023,1,17,5,1378.684
2023,1,17,6,1419.679
2023,1,17,7,1519.808
2023,1,17,8,1598.014
2023,1,17,9,1635.784
2023,1,17,10,1657.986
2023,1,17,11,1684.785
2023,1,17,12,1692.698
2023,1,17,13,1691.58
2023,1,17,14,1702.05
2023,1,17,15,1712.611
2023,1,17,16,1726.046
2023,1,17,17,1741.306
2023,1,17,18,1813.649
2023,1,17,19,1824.453
2023,1,17,20,1821.477
2023,1,17,21,1804.83
2023,1,17,22,1753.357
2023,1,17,23,1661.5
2023,1,17,24,1568.628
2023,1,18,1,1489.553
2023,1,18,2,1441.754
2023,1,18,3,1410.859
2023,1,18,4,1403.192
2023,1,18,5,1419.096
2023,1,18,6,1462.108
2023,1,18,7,1543.287
2023,1,18,8,1617.808
2023,1,18,9,1655.772
2023,1,18,10,1668.094
2023,1,18,11,1685.155
2023,1,18,12,1693.962
2023,1,18,13,1691.667
2023,1,18,14,1703.838
2023,1,18,15,1714.942
2023,1,18,16,1722.099
2023,1,18,17,1741.794
2023,1,18,18,1807.99
2023,1,18,19,1832.2
2023,1,18,20,1838.104
2023,1,18,21,1828.011
2023,1,18,22,1768.626
2023,1,18,23,1682.308
2023,1,18,24,1587.057
2023,1,19,1,1550.868
2023,1,19,2,1494.089
2023,1,19,3,1462.618
2023,1,19,4,1451.389
2023,1,19,5,1465.542
2023,1,19,6,1512.573
2023,1,19,7,1596.198
2023,1,19,8,1664.261
2023,1,19,9,1700.668
2023,1,19,10,1714.191
2023,1,19,11,1727.616
2023,1,19,12,1728.301
2023,1,19,13,1722.599
2023,1,19,14,1735.395
2023,1,19,15,1744.463
2023,1,19,16,1750.401
2023,1,19,17,1787.342
2023,1,19,18,1846.132
2023,1,19,19,1892.244
2023,1,19,20,1906.13
2023,1,19,21,1900.081
2023,1,19,22,1850.772
2023,1,19,23,1754.317
2023,1,19,24,1649.729
2023,1,20,1,1567.565
2023,1,20,2,1509.259
2023,1,20,3,1472.913
2023,1,20,4,1456.943
2023,1,20,5,1468.072
2023,1,20,6,1506.237
2023,1,20,7,1584.64
2023,1,20,8,1665.333
2023,1,20,9,1702.973
2023,1,20,10,1713.053
2023,1,20,11,1718.825
2023,1,20,12,1703.525
2023,1,20,13,1689.525
2023,1,20,14,1687.81
2023,1,20,15,1689.122
2023,1,20,16,1684.39
2023,1,20,17,1717.16
2023,1,20,18,1795.699
2023,1,20,19,1819.92
2023,1,20,20,1821.803
2023,1,20,21,1804.517
2023,1,20,22,1765.212
2023,1,20,23,1695.493
2023,1,20,24,1607.772
2023,1,21,1,1522.989
2023,1,21,2,1461.119
2023,1,21,3,1425.565
2023,1,21,4,1400.429
2023,1,21,5,1400.772
2023,1,21,6,1413.565
2023,1,21,7,1437.031
2023,1,21,8,1485.267
2023,1,21,9,1527.839
2023,1,21,10,1543.656
2023,1,21,11,1556.51
2023,1,21,12,1562.126
2023,1,21,13,1558.936
2023,1,21,14,1555.049
2023,1,21,15,1548.359
2023,1,21,16,1552.571
2023,1,21,17,1582.068
2023,1,21,18,1657.817
2023,1,21,19,1673.986
2023,1,21,20,1665.246
2023,1,21,21,1641.031
2023,1,21,22,1595.897
2023,1,21,23,1538.215
2023,1,21,24,1468.134
2023,1,22,1,1373.131
2023,1,22,2,1323.698
2023,1,22,3,1286.344
2023,1,22,4,1269.167
2023,1,22,5,1262.734
2023,1,22,6,1260.627
2023,1,22,7,1262.108
2023,1,22,8,1262.95
2023,1,22,9,1302.782
2023,1,22,10,1334.69
2023,1,22,11,1356.229
2023,1,22,12,1367.409
2023,1,22,13,1369.876
2023,1,22,14,1375.913
2023,1,22,15,1380.374
2023,1,22,16,1395.88
2023,1,22,17,1433.176
2023,1,22,18,1535.351
2023,1,22,19,1575.511
2023,1,22,20,1579.931
2023,1,22,21,1563.373
2023,1,22,22,1510.746
2023,1,22,23,1439.63
2023,1,22,24,1366.433
2023,1,23,1,1323.891
2023,1,23,2,1280.117
2023,1,23,3,1246.723
2023,1,23,4,1241.562
2023,1,23,5,1267.854
2023,1,23,6,1331.153
2023,1,23,7,1465.943
2023,1,23,8,1576.057
2023,1,23,9,1640.29
2023,1,23,10,1670.281
2023,1,23,11,1701.804
2023,1,23,12,1719.714
2023,1,23,13,1725.764
2023,1,23,14,1735.523
2023,1,23,15,1742.685
2023,1,23,16,1747.101
2023,1,23,17,1761.879
2023,1,23,18,1838.427
2023,1,23,19,1864.817
2023,1,23,20,1867.187
2023,1,23,21,1850.751
2023,1,23,22,1791.229
2023,1,23,23,1700.381
2023,1,23,24,1588.966
2023,1,24,1,1541.567
2023,1,24,2,1487.013
2023,1,24,3,1453.891
2023,1,24,4,1438.457
2023,1,24,5,1455.771
2023,1,24,6,1500.933
2023,1,24,7,1593.106
2023,1,24,8,1664.124
2023,1,24,9,1708.124
2023,1,24,10,1711.584
2023,1,24,11,1726.412
2023,1,24,12,1724.592
2023,1,24,13,1717.142
2023,1,24,14,1723.361
2023,1,24,15,1728.326
2023,1,24,16,1741.798
2023,1,24,17,1760.854
2023,1,24,18,1842.894
2023,1,24,19,1881.68
2023,1,24,20,1901.151
2023,1,24,21,1897.285
2023,1,24,22,1849.157
2023,1,24,23,1754.295
2023,1,24,24,1650.801
2023,1,25,1,1567.309
2023,1,25,2,1508.284
2023,1,25,3,1474.537
2023,1,25,4,1459.053
2023,1,25,5,1470.801
2023,1,25,6,1517.073
2023,1,25,7,1613.7
2023,1,25,8,1689.819
2023,1,25,9,1715.399
2023,1,25,10,1716.47
2023,1,25,11,1724.289
2023,1,25,12,1716.091
2023,1,25,13,1703.723
2023,1,25,14,1705.867
2023,1,25,15,1711.115
2023,1,25,16,1718.739
2023,1,25,17,1738.53
2023,1,25,18,1798.04
2023,1,25,19,1856.095
2023,1,25,20,1871.225
2023,1,25,21,1867.597
2023,1,25,22,1823.304
2023,1,25,23,1731.651
2023,1,25,24,1626.1
2023,1,26,1,1519.3
2023,1,26,2,1465.561
2023,1,26,3,1443.225
2023,1,26,4,1428.187
2023,1,26,5,1452.088
2023,1,26,6,1497.72
2023,1,26,7,1593.296
2023,1,26,8,1659.194
2023,1,26,9,1685.72
2023,1,26,10,1701.212
2023,1,26,11,1710.656
2023,1,26,12,1702.811
2023,1,26,13,1686.593
2023,1,26,14,1691.405
2023,1,26,15,1693.266
2023,1,26,16,1705.2
2023,1,26,17,1719.176
2023,1,26,18,1799.198
2023,1,26,19,1860.863
2023,1,26,20,1880.631
2023,1,26,21,1875.922
2023,1,26,22,1830.739
2023,1,26,23,1735.151
2023,1,26,24,1629.501
2023,1,27,1,1548.096
2023,1,27,2,1483.974
2023,1,27,3,1449.096
2023,1,27,4,1433.907
2023,1,27,5,1444.039
2023,1,27,6,1483.418
2023,1,27,7,1572.15
2023,1,27,8,1639.544
2023,1,27,9,1664.362
2023,1,27,10,1674.709
2023,1,27,11,1681.63
2023,1,27,12,1674.212
2023,1,27,13,1661.372
2023,1,27,14,1662.665
2023,1,27,15,1662.724
2023,1,27,16,1663.73
2023,1,27,17,1670.898
2023,1,27,18,1727.649
2023,1,27,19,1776.073
2023,1,27,20,1788.472
2023,1,27,21,1777.258
2023,1,27,22,1747.197
2023,1,27,23,1677.036
2023,1,27,24,1595.664
2023,1,28,1,1489.313
2023,1,28,2,1430.013
2023,1,28,3,1393.079
2023,1,28,4,1373.966
2023,1,28,5,1374.086
2023,1,28,6,1393.388
2023,1,28,7,1415.905
2023,1,28,8,1456.316
2023,1,28,9,1514.089
2023,1,28,10,1533.837
2023,1,28,11,1544.527
2023,1,28,12,1538.528
2023,1,28,13,1527.429
2023,1,28,14,1518.129
2023,1,28,15,1502.65
2023,1,28,16,1494.909
2023,1,28,17,1520.124
2023,1,28,18,1594.374
2023,1,28,19,1630.144
2023,1,28,20,1629.771
2023,1,28,21,1613.389
2023,1,28,22,1575.182
2023,1,28,23,1516.5
2023,1,28,24,1452.18
2023,1,29,1,1377.09
2023,1,29,2,1328.559
2023,1,29,3,1294.585
2023,1,29,4,1275.291
2023,1,29,5,1268.498
2023,1,29,6,1266.977
2023,1,29,7,1268.139
2023,1,29,8,1269.998
2023,1,29,9,1300.733
2023,1,29,10,1324.034
2023,1,29,11,1333.604
2023,1,29,12,1340.783
2023,1,29,13,1345.119
2023,1,29,14,1351.735
2023,1,29,15,1359.551
2023,1,29,16,1378.367
2023,1,29,17,1425.649
2023,1,29,18,1512.689
2023,1,29,19,1566.484
2023,1,29,20,1585.337
2023,1,29,21,1580.356
2023,1,29,22,1539.096
2023,1,29,23,1458.897
2023,1,29,24,1373.642
2023,1,30,1,1328.061
2023,1,30,2,1285.198
2023,1,30,3,1254.207
2023,1,30,4,1248.883
2023,1,30,5,1276.22
2023,1,30,6,1345.949
2023,1,30,7,1480.259
2023,1,30,8,1584.182
2023,1,30,9,1634.653
2023,1,30,10,1664.754
2023,1,30,11,1685.408
2023,1,30,12,1702.089
2023,1,30,13,1695.398
2023,1,30,14,1705.277
2023,1,30,15,1715.405
2023,1,30,16,1717.172
2023,1,30,17,1735.516
2023,1,30,18,1807.944
2023,1,30,19,1823.397
2023,1,30,20,1835.47
2023,1,30,21,1829.441
2023,1,30,22,1780.316
2023,1,30,23,1679.768
2023,1,30,24,1572.312
2023,1,31,1,1519.118
